wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,match_alg_name,params_1,default
0.15,0.2,0.2,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,47,FALSE
0.15,0.2,0.2,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,48,FALSE
0.15,0.2,0.2,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,49,FALSE
0.15,0.2,0.25,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,50,FALSE
0.15,0.2,0.25,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,51,FALSE
0.15,0.2,0.3,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,52,FALSE
0.15,0.25,0,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,53,FALSE
0.15,0.25,0,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,54,FALSE
0.15,0.25,0,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,55,FALSE
0.15,0.25,0,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,56,FALSE
0.15,0.25,0,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,57,FALSE
0.15,0.25,0,0.25,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,58,FALSE
0.15,0.25,0,0.3,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,59,FALSE
0.15,0.25,0.05,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,60,FALSE
0.15,0.25,0.05,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,61,FALSE
0.15,0.25,0.05,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,62,FALSE
0.15,0.25,0.05,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,63,FALSE
0.15,0.25,0.05,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,64,FALSE
0.15,0.25,0.05,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,65,FALSE
0.15,0.25,0.1,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,66,FALSE
0.15,0.25,0.1,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,67,FALSE
0.15,0.25,0.1,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,68,FALSE
0.15,0.25,0.1,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,69,FALSE
0.15,0.25,0.1,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,70,FALSE
0.15,0.25,0.15,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,71,FALSE
0.15,0.25,0.15,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,72,FALSE
0.15,0.25,0.15,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,73,FALSE
0.15,0.25,0.15,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,74,FALSE
0.15,0.25,0.2,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,75,FALSE
0.15,0.25,0.2,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,76,FALSE
0.15,0.25,0.2,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,77,FALSE
0.15,0.25,0.25,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,78,FALSE
0.15,0.25,0.25,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,79,FALSE
0.15,0.25,0.3,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,80,FALSE
0.15,0.3,0,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,81,FALSE
0.15,0.3,0,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,82,FALSE
0.15,0.3,0,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,83,FALSE
0.15,0.3,0,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,84,FALSE
0.15,0.3,0,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,85,FALSE
0.15,0.3,0,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,86,FALSE
0.15,0.3,0.05,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,87,FALSE
0.15,0.3,0.05,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,88,FALSE
0.15,0.3,0.05,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,89,FALSE
0.15,0.3,0.05,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,90,FALSE
0.15,0.3,0.05,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,91,FALSE
0.15,0.3,0.1,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,92,FALSE
0.15,0.3,0.1,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,93,FALSE
0.15,0.3,0.1,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,94,FALSE
0.15,0.3,0.1,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,95,FALSE
0.15,0.3,0.15,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,96,FALSE
0.15,0.3,0.15,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,97,FALSE
0.15,0.3,0.15,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,98,FALSE
0.15,0.3,0.2,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,99,FALSE
0.15,0.3,0.2,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,100,FALSE
0.15,0.3,0.25,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,101,FALSE
0.15,0.35,0,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,102,FALSE
0.15,0.35,0,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,103,FALSE
0.15,0.35,0,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,104,FALSE
0.15,0.35,0,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,105,FALSE
0.15,0.35,0,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,106,FALSE
0.15,0.35,0.05,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,107,FALSE
0.15,0.35,0.05,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,ABO-CAS,108,FALSE
