xi,omega,alpha,mods_id,name,value,params_1
1280.7717192998066,3.7684888591285066,1.5845474557333885,can_count,ov,ov,1
983.3066433457885,21.240845930561996,-1.0887086635933325,tx_count,ov,ov,1
95.1004559086004,11.165448132911093,0.8244739731316899,wait_death,ov,ov,1
0.04185198726882224,0.005616062500062098,1.090277871549493,wld_ppy,ov,ov,1
0.4215481104118502,0.02042683687583179,1.4688843154108033,tx_ppy,ov,ov,1
466.9252900833513,19.824748826180638,0.6703783582253033,med_wlt,ov,ov,1
161.3347552769021,13.219596239680646,0.5064458503618061,med_dist,ov,ov,1
162.5931782903343,13.04321815450657,-0.5210383580420047,post_tx_death,ov,ov,1
0.10158157888663692,0.008227665024016888,-0.04521544384587793,ptd_ppy,ov,ov,1
9.556092539748954,0.7744952749114921,0.63130480146604,med_offer,ov,ov,1
553.5770160669757,20.97454426895066,-0.8771666871561277,can_count,dx_grp,A,1
449.13031133407657,18.54058004744345,0.5108315566487454,tx_count,dx_grp,A,1
16.198539577325214,6.350826927233325,1.6154375916531165,wait_death,dx_grp,A,1
0.014496068632015283,0.005721234546503916,1.6587410245510366,wld_ppy,dx_grp,A,1
0.39866170284402563,0.022301055430519724,0.7469856575167991,tx_ppy,dx_grp,A,1
552.1635415959812,40.48885823798815,1.6170670369368514,med_wlt,dx_grp,A,1
186.8259506758141,22.299793319169986,-0.8903246396347371,med_dist,dx_grp,A,1
67.71598757284801,10.403039990932777,1.107041790227084,post_tx_death,dx_grp,A,1
0.09138214048157776,0.015089698501804305,1.1785030322075352,ptd_ppy,dx_grp,A,1
9.988708196559191,1.4205318526711186,1.2586912507633998,med_offer,dx_grp,A,1
68.1253365929925,9.280471515935103,0.7429865314956592,can_count,dx_grp,B,1
40.82518624516686,8.130499801601763,1.1115069864509732,tx_count,dx_grp,B,1
3.2227836101826375,3.4941743281260873,1.9482347502714839,wait_death,dx_grp,B,1
0.018809979380228804,0.023150307977026077,2.27068965925994,wld_ppy,dx_grp,B,1
0.23940701478364534,0.06592603215178422,1.7825074151926321,tx_ppy,dx_grp,B,1
541.6295581080968,118.16657128376727,1.0059408533508807,med_wlt,dx_grp,B,1
66.32178136089057,77.52564290560859,4.3820887459569,med_dist,dx_grp,B,1
4.737954046671619,3.519596858816334,1.671550896354693,post_tx_death,dx_grp,B,1
0.06294768066593062,0.05495538885484164,2.205174710399389,ptd_ppy,dx_grp,B,1
5.897084493239692,4.0700807404655235,3.122144057091428,med_offer,dx_grp,B,1
100.9480379087258,11.278612747265651,0.7184819226801803,can_count,dx_grp,C,1
83.13184810143908,10.396898243195636,0.8400447776280481,tx_count,dx_grp,C,1
3.120316394131849,3.0713743427024323,1.525629281682139,wait_death,dx_grp,C,1
0.02033366380594944,0.021689388922005098,1.7940114515028471,wld_ppy,dx_grp,C,1
0.535665254839939,0.10147294566602363,2.4404116181944207,tx_ppy,dx_grp,C,1
346.2975115406806,69.58293025920277,1.6753116855395007,med_wlt,dx_grp,C,1
139.22067461099985,33.066585178731735,0.33012090248705456,med_dist,dx_grp,C,1
8.179390233568988,4.428470466929688,1.511844785315224,post_tx_death,dx_grp,C,1
0.05245262157048866,0.03114120828349067,1.7677271652037427,ptd_ppy,dx_grp,C,1
3.2673900356167733,1.46406105570751,2.3994896917820574,med_offer,dx_grp,C,1
572.3242722821599,21.129721763886124,-0.7713631183947609,can_count,dx_grp,D,1
