mods_id,xi,omega,alpha,name,value,params_1,wl_weight,post_tx_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,bio_weight,abo_weight,height_weight,cost_weight,distance_weight,method
wld_ppy,11.228028487428906,2.92478944398203,1.3139556210992218,dx_grp,C,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,153.619815567094,15.559128475092097,1.4043587490820264,dx_grp,C,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,69.15672234282101,8.685129253147139,1.444323614221409,dx_grp,C,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,210.03940290575284,15.631518916851368,-0.674856836027397,dx_grp,C,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,37.591427721846586,8.527792063523023,1.5464170283699692,dx_grp,C,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,7.144888534516815,1.8081039982898297,1.9263593868244744,dx_grp,C,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,4228.64310161344,88.26083478081323,1.249005790955754,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,2834.617364905535,67.9594959171497,1.126459042598475,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wait_death,497.34316539072455,28.57258431953943,-0.7853898832370312,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
wld_ppy,26.81522199946825,1.3626019518410013,-0.4187251344940125,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_ppy,152.15740976488368,8.037749726240362,1.2459704280611412,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_wlt,71.79583472819581,3.735958964319976,-0.8418098587683169,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
med_dist,224.20040966076493,8.458801878708952,-1.280809798283421,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
post_tx_death,355.1108081419739,23.89635711355717,1.2746580567789227,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
ptd_ppy,11.552937520904724,0.7028508276238769,0.8823654558511641,dx_grp,D,1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
can_count,1151.8070144553856,39.71477980428958,-0.6254478518520364,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
tx_count,612.7312936679999,33.36306876120324,1.464551868569904,hgt_cat,"(-Inf,62.2]",1,0.15,0.15,0.3,0.05,0.2,0.05,0.1,NA,NA,NA,NA,Supply-CAS
