wl_weight,post_tx_weight,abo_weight,height_weight,efficiency_weight,cpra_weight,peds_weight,pld_weight,wl_model,post_tx_model,wl_cap,post_tx_cap,checks,params_1,match_alg_name
0.15,0.2,0.2,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,48,PRE_ABO_CAS
0.15,0.2,0.2,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,49,PRE_ABO_CAS
0.15,0.2,0.25,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,50,PRE_ABO_CAS
0.15,0.2,0.25,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,51,PRE_ABO_CAS
0.15,0.2,0.3,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,52,PRE_ABO_CAS
0.15,0.25,0,0,0.3,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,53,PRE_ABO_CAS
0.15,0.25,0,0.05,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,54,PRE_ABO_CAS
0.15,0.25,0,0.1,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,55,PRE_ABO_CAS
0.15,0.25,0,0.15,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,56,PRE_ABO_CAS
0.15,0.25,0,0.2,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,57,PRE_ABO_CAS
0.15,0.25,0,0.25,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,58,PRE_ABO_CAS
0.15,0.25,0,0.3,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,59,PRE_ABO_CAS
0.15,0.25,0.05,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,60,PRE_ABO_CAS
0.15,0.25,0.05,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,61,PRE_ABO_CAS
0.15,0.25,0.05,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,62,PRE_ABO_CAS
0.15,0.25,0.05,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,63,PRE_ABO_CAS
0.15,0.25,0.05,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,64,PRE_ABO_CAS
0.15,0.25,0.05,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,65,PRE_ABO_CAS
0.15,0.25,0.1,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,66,PRE_ABO_CAS
0.15,0.25,0.1,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,67,PRE_ABO_CAS
0.15,0.25,0.1,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,68,PRE_ABO_CAS
0.15,0.25,0.1,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,69,PRE_ABO_CAS
0.15,0.25,0.1,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,70,PRE_ABO_CAS
0.15,0.25,0.15,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,71,PRE_ABO_CAS
0.15,0.25,0.15,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,72,PRE_ABO_CAS
0.15,0.25,0.15,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,73,PRE_ABO_CAS
0.15,0.25,0.15,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,74,PRE_ABO_CAS
0.15,0.25,0.2,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,75,PRE_ABO_CAS
0.15,0.25,0.2,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,76,PRE_ABO_CAS
0.15,0.25,0.2,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,77,PRE_ABO_CAS
0.15,0.25,0.25,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,78,PRE_ABO_CAS
0.15,0.25,0.25,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,79,PRE_ABO_CAS
0.15,0.25,0.3,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,80,PRE_ABO_CAS
0.15,0.3,0,0,0.25,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,81,PRE_ABO_CAS
0.15,0.3,0,0.05,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,82,PRE_ABO_CAS
0.15,0.3,0,0.1,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,83,PRE_ABO_CAS
0.15,0.3,0,0.15,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,84,PRE_ABO_CAS
0.15,0.3,0,0.2,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,85,PRE_ABO_CAS
0.15,0.3,0,0.25,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,86,PRE_ABO_CAS
0.15,0.3,0.05,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,87,PRE_ABO_CAS
0.15,0.3,0.05,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,88,PRE_ABO_CAS
0.15,0.3,0.05,0.1,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,89,PRE_ABO_CAS
0.15,0.3,0.05,0.15,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,90,PRE_ABO_CAS
0.15,0.3,0.05,0.2,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,91,PRE_ABO_CAS
0.15,0.3,0.1,0,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,92,PRE_ABO_CAS
0.15,0.3,0.1,0.05,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,93,PRE_ABO_CAS
0.15,0.3,0.1,0.1,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,94,PRE_ABO_CAS
0.15,0.3,0.1,0.15,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,95,PRE_ABO_CAS
0.15,0.3,0.15,0,0.1,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,96,PRE_ABO_CAS
0.15,0.3,0.15,0.05,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,97,PRE_ABO_CAS
0.15,0.3,0.15,0.1,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,98,PRE_ABO_CAS
0.15,0.3,0.2,0,0.05,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,99,PRE_ABO_CAS
0.15,0.3,0.2,0.05,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,100,PRE_ABO_CAS
0.15,0.3,0.25,0,0,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,101,PRE_ABO_CAS
0.15,0.35,0,0,0.2,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,102,PRE_ABO_CAS
0.15,0.35,0,0.05,0.15,0.05,0.2,0.05,CAS23,CAS23,365,1826,FALSE,103,PRE_ABO_CAS
